city,2020,2021,2022
衡阳市,1753.4312090728872,1124.0801558416147,4202.2445146744385
黄石市,1257.5541281373482,-941.1103761949423,-979.2921992036154
益阳市,4221.8797670652075,-1318.8146152684712,-1569.6998850480022
娄底市,2768.3148152013846,-2347.6803213544663,-2245.7849145073037
抚州市,870.1514229036404,-978.1262331179787,-775.5884348147993
武汉市,-36961.12143317551,10419.224778600306,8338.369041382855
鄂州市,850.7431765727779,-520.7204158640247,-2521.0787616246753
长沙市,-19734.14009180977,8958.110843357317,10304.999443773904
株洲市,56.90836831383666,346.65271675680003,2164.0938444792782
萍乡市,111.03335730509538,-521.5404675843002,-1043.373037955139
南昌市,-6313.274912248877,4773.4057365575045,4950.084799445153
襄阳市,1860.4462131557432,-1841.047470541562,-2403.599543942723
九江市,1193.0468312705798,470.5765109079016,1793.4750288576993
常德市,2938.1817330092254,-1974.924882375767,-3216.715675663665
宜昌市,1213.9858971125398,-850.7616780258295,-841.1449860767218
吉安市,951.0577666045572,125.33955379891775,1569.6187431789933
黄冈市,8205.214660507885,-1976.500591508289,-1050.0900040282436
景德镇市,-728.0984298131119,-612.5521321292136,-841.4102556305273
上饶市,1852.105382932149,-325.9541744540029,161.8386195634084
孝感市,6781.6164424706285,-1067.841385114757,-1072.2264754779808
潜江市,615.2040544935192,-456.21110445451274,-814.5427381514851
岳阳市,3380.2488559549292,-1500.802375688107,-2390.5979283091665
咸宁市,1826.7575360821145,-727.77282891035,38.322063073859
仙桃市,1577.0046076809763,-360.9250171309182,-467.40248296032894
天门市,1499.5013269564984,-438.63631023412876,-546.0049976796911
新余市,-99.11094296477292,-151.20180138416745,-698.4023143625809
宜春市,2224.6218380071355,-1862.7509537924395,-1967.8576148679424
鹰潭市,142.07077542511536,30.435162243608843,-266.4781965411738
湘潭市,1374.0492374500686,876.6771793744665,-447.08662205117935
荆州市,4729.3355848644505,-2530.0728839063986,-3723.7253972994636
