city,2020,2021,2022
沧州市,-1526.801173870998,-6710.574771167245,-1265.636208871831
廊坊市,-13742.752357246582,-50038.85053927464,-22579.457724218493
张家口市,-5170.815291078753,-2211.50265876339,1372.3115318099592
秦皇岛市,-1894.0039596839902,-365.6405655498446,213.10673258660563
天津市,5686.734558445331,-1785.9250075317898,11494.167376552552
安阳市,1906.3819260158248,-1990.3749611512123,1068.4612341539603
邯郸市,-8795.910343362084,-8097.3718523517655,-400.2561382922672
邢台市,1773.8961064641353,-1066.2909115685516,-479.0855059359387
唐山市,-4688.399314433095,-11908.827960112589,-4109.836050713512
石家庄市,653.3067643904506,21604.9487194139,-378.4773809300209
北京市,30782.345182782083,79180.57504629839,19382.98248091883
衡水市,-3673.4482895046644,-2382.2661293541187,804.970053945252
承德市,-2167.893010423378,-1611.4394845599618,-41.78184166432772
保定市,4534.003020614441,-6009.692700786302,-4928.1944026374695
