city,2020,2021,2022,2023,2024,,,,,
平顶山市,1089.473026,-2569.210803,-2160.494871,-5644.190762,-7368.510875,,,,,
新乡市,-43.1591461,-2793.838409,-1921.819326,-3730.408925,-5196.814263,,,,,
淮北市,-143.7067802,-116.3643811,-968.262932,-606.0530278,-702.4974144,-1.677663183,-0.327687986,1.54907262,0.051124187,
郑州市,-36514.96696,24744.84873,16636.25908,42407.03251,44575.05758,61259.81569,8108.589655,25770.77343,2168.025071,97307.20385
宿州市,354.4208812,272.4083018,1425.50433,399.2212782,381.914543,,,,,
焦作市,-311.3002471,-2438.472279,-2458.128115,-3635.91651,-4918.598724,,,,,
运城市,18.0284019,-529.5336705,-190.011806,-791.4373118,-1106.329756,,,,,
三门峡市,658.0599646,-323.2101906,-291.101155,-1029.738863,-1312.025648,,,,,
濮阳市,-423.8516857,-2589.296008,-379.2118907,-2774.686103,-3722.139733,,,,,
开封市,3266.559888,3674.943691,3606.680699,9169.823461,10074.17561,,,,,
洛阳市,140.368777,2044.145058,289.0355951,8521.701381,7247.978306,,,,,
晋城市,-289.0960852,249.791417,228.8597902,502.9579949,649.2247867,,,,,
漯河市,948.5382804,-511.5795244,100.0449602,-559.8011536,-1463.472532,,,,,
许昌市,2241.779511,-1394.062664,-2196.479461,-682.9847275,3379.705543,,,,,
安阳市,-612.6631683,-6573.690068,-2772.108033,-7460.219334,-7891.165664,,,,,
菏泽市,-49.75669392,-615.9865551,271.704473,-1656.426062,-2530.067391,,,,,
鹤壁市,399.8851757,749.238107,452.9941239,2117.031408,2847.089357,,,,,
周口市,7688.080698,-4957.674059,-2462.460427,-9914.830412,-10051.94854,,,,,
南阳市,3179.709391,-1982.21368,-1417.293741,-5334.758242,-7145.985336,,,,,
商丘市,3836.853728,-2592.379669,-1045.512517,-1301.229637,-1098.628581,,,,,
济源市,-62.0948699,89.27938562,-59.53252665,-5418.281702,-4037.756384,,,,,
聊城市,-2199.187115,-2226.502767,3135.347023,866.6064492,876.1428938,,,,,
阜阳市,371.6500916,687.2395672,3173.704934,3422.625301,4777.991965,,,,,
信阳市,1645.908185,240.326218,1579.357596,1525.671538,4346.630991,,,,,
邯郸市,4431.759585,3427.09079,-6214.680524,-2344.135072,-2853.743616,,,,,
邢台市,3460.232303,3916.093233,-2592.914085,-1067.068321,-1612.34741,,,,,
驻马店市,2672.209179,-4677.705349,-4148.583586,-8225.318117,-8863.789083,,,,,
长治市,-778.4310432,24.2063866,1383.960603,-340.7694801,-558.2338905,,,,,
蚌埠市,-46.97686985,809.1527294,1568.713626,1256.50718,1437.795,,,,,
亳州市,21.53398019,-480.5257244,39.48649118,-1384.598933,-1612.442978,,,,,
